Position,Orientation,Success
"[-0.032065396172751226, -0.023949851809371616, -0.04794359319562225]","[-0.037406165106293736, -0.02046028177534138, 0.06691569986267268, 0.9968472524883655]",0
"[0.15223731446908917, -0.010335142032043894, 0.11756559536627528]","[-0.03264022965060779, -0.6801911365953488, -0.04041710822043705, 0.7311915552497722]",1
"[-0.020349330688411424, 0.15473623058137245, 0.10620089730773839]","[0.7030618272612419, -0.00726388892742677, -0.03641335042250565, 0.7101586941499354]",0
"[0.019354522634450998, 0.015932613219511983, -0.07656494719656315]","[-0.013550148822906843, 0.0934231383822563, -0.030770113120441495, 0.9950586469250152]",0
"[-0.0280268937295205, 0.0318024455554788, 0.2746808463662386]","[-0.990488812617658, -0.026464427290000415, -0.1346324950424075, -0.01027800788725935]",0
"[0.008196288960585203, 0.03253312115940456, -0.03898264696769013]","[-0.13091967033441435, -0.1124946925999684, -0.13567188042746067, 0.9756014170334337]",0
"[0.018225002106824716, -0.02860177976498843, -0.056236458958651536]","[-0.08893187546951287, -0.02078095344625182, -0.017742633899576025, 0.9956628307020632]",1
"[0.023248875474604365, 0.041095921171901736, -0.04316523533361505]","[0.10487200253932329, -0.14201835373849803, 0.040093305711100126, 0.983476068403271]",1
"[-0.15419592201783308, 0.02097700246931431, 0.07606512781856886]","[-0.004848990789323791, 0.7122986583164008, 0.0033935915250725146, 0.7018515456886459]",1
"[0.15840964296516008, 0.03594711082403439, 0.0932445903217076]","[0.03851265999529883, -0.6949707604776065, 0.037752293546730833, 0.7170126787116287]",1
"[0.025976023680830858, -0.011763212171355475, -0.05450613825389139]","[-0.11176528269340308, 0.041655229621291014, 0.05242280801863141, 0.9914762794081878]",1
"[-0.03023237415890844, 0.17255709200205765, 0.13203037526851016]","[0.6940239469547124, -0.05237890064784978, 0.021538178876406567, 0.7177209197668779]",0
"[0.03576465089796773, -0.02208136814349621, 0.25873047010854444]","[-0.9910280606430882, -0.0773498181778955, 0.10685569603657336, -0.02149997372987831]",1
"[-0.004525299257625364, 0.020851063013741445, 0.24649135553790294]","[-0.9984014658328388, -0.005805993455496046, -0.052377402557371, -0.020430642774436437]",1
"[-0.03601185049572473, -0.01405169804621117, 0.24428699256088857]","[-0.9973825757647913, -0.030635913212366243, 0.06080557772175108, 0.024333518043204716]",0
"[-0.16033357155887618, -0.04769522786057758, 0.05142142822158363]","[-0.02361009196909168, 0.7149034256623829, 0.02089604609381289, 0.6985119975999311]",0
"[-0.14603440002247076, 0.023280851724333432, 0.13264499570413704]","[-0.049724044227125855, 0.7151260857493595, 0.05190415699013305, 0.6952899822330553]",0
"[0.15894461346567418, 0.04206933608927274, 0.11143999732845189]","[0.07052965201939847, -0.7169190725306549, 0.06787679736036113, 0.6902502097123251]",1
"[-0.04414211666747279, 0.16440076057899725, 0.1504013191844636]","[0.7056121818070783, 0.030776554647462637, 0.09389806599066655, 0.7016747150729452]",0
"[0.007569994740009521, -0.14186388756887702, 0.11718678093017279]","[-0.7199053728829541, -0.03902270984728525, -0.1034466262329494, 0.6852096596892442]",1
"[0.013986087424468274, 0.012183876180938438, -0.0698164435532605]","[-0.005628712672178637, -0.10690992921829154, 0.032640592295018214, 0.9937168491893575]",1
"[-0.16574749361457194, -0.01095983496684333, 0.0702262187034569]","[0.03191065742841672, 0.7012880950340499, -0.032690309585194616, 0.7114127222402084]",0
"[0.1651536718215515, 0.013666295782410444, 0.1038787747976148]","[0.020696781968899874, -0.7154769343059421, 0.02292865513548767, 0.6979532050689219]",1
"[-0.1567631861423711, -0.04797089647208261, 0.09182496041778691]","[-0.08122573427831224, 0.6979314002594431, 0.07938092192676285, 0.7071016969693251]",1
"[0.037036887436191886, 0.1423544185777907, 0.055161936982211064]","[0.7186782766042172, 0.004886285618670759, 0.022334304929480884, 0.6949667889715034]",0
"[-0.02107897941704761, 0.17248519105105825, 0.12575991829482272]","[0.7071683603893473, 0.05628849620726581, -0.08488478819044981, 0.6996706996815213]",0
"[0.04950676699451417, 0.02748506724757797, -0.08067838219824774]","[-0.03625735356759589, 0.10905362248631235, 0.05235946781233678, 0.9919935472901505]",0
"[-0.16077609045933766, -0.012239157025275843, 0.05515111018755784]","[-0.007052115839126767, 0.7235612276109306, 0.0005494810754768932, 0.6902239604873932]",0
"[-0.1736814522166716, -0.024291581421363385, 0.12116520650435986]","[0.11628390757859187, 0.7242404729043961, -0.1149548273894914, 0.6698799727602868]",0
"[0.013357342880861947, -0.14727136669789148, 0.09732099522598991]","[-0.7003387933399059, -0.01904223066573693, -0.10899089658563788, 0.7051836303091105]",1
