Position,Orientation,Success
"[-0.1707117187875474, -0.0028110607674946796, 0.08045155530984592]","[-0.0318031074995061, 0.6957755707555038, 0.03241523806249885, 0.7168222721390424]",1
"[-0.15578855263810124, -0.04221874302018809, 0.08277990214446795]","[-0.07795819363115308, 0.7177388068907199, 0.078303796201869, 0.6874896658344979]",1
"[0.041510356651411416, -0.02455887640510526, 0.24616041052164075]","[-0.9882129726887322, 0.13469977986362863, -0.05621095371386412, -0.04616728925296313]",0
"[0.045502507438953045, 0.16636063005855722, 0.050230156083062937]","[0.6925925176446616, -0.10478452033686322, 0.05415653266654387, 0.7116198976770817]",0
"[0.17395895091789731, -0.02687970552783698, 0.13241518861517534]","[-0.07977565687635663, -0.7053625506152749, -0.08010987659405043, 0.6997727662831311]",1
"[0.04946189392455613, 0.03559393080357193, 0.27578662024740286]","[-0.9953822767475959, -0.05726762884845466, -0.07341788429061887, -0.023331439928498773]",0
"[0.020336429163372097, -0.04753563193246301, -0.07617640928270406]","[-0.04936900470364491, 0.07054712060809827, -0.04208760564897936, 0.9953966237632184]",0
"[0.04593966488737222, -0.045793161637020685, -0.07656664779537861]","[0.06608801798828848, 0.043608621224912054, 0.025306801436400222, 0.9965391250895774]",0
"[0.16250720646206168, 0.03759724445105319, 0.11975380423266233]","[0.02571922071549666, -0.7286673717963679, 0.027288406087569567, 0.6838404242645804]",1
"[0.0026703714658959047, -0.03505024099464635, -0.04936652783526216]","[0.11948225418531401, 0.1156773915737682, 0.05140233350837114, 0.984733736663561]",0
"[0.16605807711075457, -0.014759499122324765, 0.128522584096711]","[-0.16676352661316612, -0.6914670556496376, -0.16722776595402358, 0.6827137844197868]",0
"[-0.03001918520279396, 0.045453745468827286, 0.24619501035114177]","[-0.9958406653345862, -0.03428840406673636, -0.07994308986549675, 0.027106770284972787]",0
"[0.03427575910389556, -0.14384500949940562, 0.06535277733880285]","[-0.6917402230775859, 0.023830270585376997, -0.043101205810585616, 0.7204650359580769]",0
"[-0.16942526585602022, 0.012898570083185675, 0.11997554929445345]","[-0.047159868548655226, 0.6867214538848585, 0.0455597511248295, 0.7239571124384258]",0
"[-0.004592297298356351, -0.18279650823846846, 0.09417651482468607]","[-0.708925965185216, 0.05373784936819585, 0.023850937615020197, 0.7028281100001447]",0
"[0.004667306989483142, 0.15354114646191763, 0.0722303111390273]","[0.6859348431358508, 0.0884628901733741, -0.052580725909290735, 0.7203492037180449]",1
"[0.03159898778769677, 0.007530550287275723, -0.08095239644620586]","[-0.04189585229419765, 0.11361514187587414, 0.13153592424314173, 0.9838875127424731]",0
"[-0.011439195999678454, 0.008238610171103548, -0.0795258043234521]","[-0.040195747195788153, -0.08490624541107836, 0.01938614751160203, 0.9953890740219246]",0
"[-0.13875660586749772, 0.032265543642800994, 0.12352291246614167]","[-0.051405455564431934, 0.7184933417968097, 0.04821523285967019, 0.6919538194505136]",0
"[-0.14439910652788218, -0.028603771296968162, 0.0797186150963384]","[0.020249049209830897, 0.7022054615070571, -0.022195211426056825, 0.7113401706817292]",1
"[-0.00902322066715164, -0.02614845186914417, -0.060960186560990975]","[-0.02193477269127842, 0.07058167136503823, 0.07254598737765532, 0.9946226285027406]",1
"[-0.011530730241948518, 0.1696148392654606, 0.14053681387513703]","[0.6954853862090306, 0.009667391684086125, -0.12187463343988926, 0.7080629864860857]",0
"[-0.032531549062984076, -0.17335361240677055, 0.06734832946126898]","[-0.6932753354225523, 0.03286904295301113, 0.1376139617472875, 0.7066479553797046]",0
