Position,Orientation,Success
"[-0.03410628665444963, -0.19128759472550255, 0.1567417971246847]","[-0.6961229720926566, 0.006805474769496022, -0.10712354015442212, 0.7098528300872177]",0
"[-0.013396873280923814, 0.17847809031107098, 0.1620363906301377]","[0.7232166719107297, 0.09091435681380158, 0.051228549154324975, 0.682691629469004]",1
"[-0.15625407826694723, -0.05691067382832257, 0.10685799592449427]","[0.1006759649726638, 0.7217563735692837, -0.10277430366146854, 0.6770299327177788]",0
"[0.07846817402749075, 0.13375702624593255, 0.16007346378826298]","[0.6948194084329417, -0.12435674340032098, 0.05262310466285462, 0.7063937987351008]",0
"[-0.02237419900468308, -0.16284561689309116, 0.051143373499948644]","[-0.708129607645155, 0.016432059970517037, -0.10943423987549883, 0.697356862247957]",1
"[0.057794782080140515, -0.142626270557262, 0.16608066780349345]","[-0.707325784652643, -0.039434220437985466, 0.029325670334103857, 0.7051774114954525]",0
"[-0.18703926128394943, -0.04008991685798739, 0.11553753428183824]","[0.0450831546690247, 0.7251872577463991, -0.04706916787419191, 0.6854600234900483]",0
"[0.07976947323678656, -0.019415633756758432, 0.31568215224882995]","[-0.9905822826060042, 0.011664784792274395, 0.13618737840725192, -0.00797948277699268]",0
"[-0.21663206162881343, -0.06387372191276673, 0.10717734288548096]","[-0.09615184971382425, 0.7069107231151122, 0.0971509849740746, 0.6939695508162058]",0
"[0.1555298300356306, 0.014159847634621268, 0.10787690693710998]","[-0.07387153001883519, -0.7111930164627259, -0.07346742252184435, 0.6952337939249803]",1
"[-0.2046407500551522, 0.010291831029962626, 0.106457522172344]","[0.08503555158300433, 0.6898363824118434, -0.08557814789384442, 0.7138424903793373]",0
"[0.20496004732846498, -0.002198910525159138, 0.076371225175073]","[-0.05998987509411317, -0.7078506203694515, -0.060551517290542575, 0.7012005618099494]",0
"[-0.035601980456433056, 0.21280664408836178, 0.1217681492010403]","[0.7129402840446019, 0.1009505019390726, -0.043043312081254344, 0.6925838727762347]",0
"[-0.033638509137877, 0.06433520134279962, 0.2464099066664259]","[-0.9854579580938996, -0.13440142757749748, 0.10070457954888536, -0.025835184389026385]",0
"[-0.07761917210165532, 0.05528914773498057, -0.07473034950031973]","[-0.011797349787787032, -0.1582086722539109, -0.09538955501253883, 0.9827164755697083]",0
"[0.05980276209130462, -0.1403034858928119, 0.04841111324920508]","[-0.6976248968030547, -0.09711091261868499, -0.0551844819789125, 0.7077030782465289]",0
"[0.04154992949892424, -0.004264440083238065, -0.09487180745489773]","[0.11539020633404698, 0.051163344436917856, 0.02704548695560751, 0.991632973485427]",0
"[0.014249209921171601, -0.21802630521927652, 0.07348909175250805]","[-0.7049362056883798, 0.10719579914345187, 0.05303178159466767, 0.699114895204331]",0
"[0.13272265127560173, 0.040534549356600856, 0.05960265820605107]","[-0.04685457051909808, -0.7136509476059925, -0.04775434990696815, 0.6972994308527025]",0
"[-0.16255156585413974, 0.05714369299119758, 0.09492604773729182]","[0.009345134510372083, 0.706326608545884, -0.008998457657574191, 0.7077672062767796]",1
"[0.010309473554045925, 0.00999419010632368, -0.093529107306277]","[-0.03916809496142935, -0.1596717726491382, -0.1259040172644914, 0.9783245697583379]",0
"[0.039870074307624015, -0.009263398098881567, 0.27937027947138077]","[-0.9877666827644044, 0.08495352676657075, -0.13075132700428724, -0.0019922844034120403]",0
"[0.2015177991355504, -0.02656097288402506, 0.031932738688525836]","[0.11224542710028618, -0.7023426625177708, 0.1128246329006248, 0.6938201140881997]",0
"[0.13871511648533152, 0.08041896656185825, 0.12336518374266325]","[0.009979502906573384, -0.72664925008579, 0.009527353254932713, 0.6868700797177387]",0
"[-0.16027701174478826, 0.027443370296205877, 0.10228941429416595]","[0.042427370964363983, 0.7169711628495296, -0.04524101966554687, 0.6943381884750884]",1
"[-0.04879138703416598, 0.06110777972976394, 0.28031889427959944]","[-0.990442834813332, 0.08438360822365441, -0.10794160829517101, -0.015843195029394255]",0
"[0.13401688306070728, -0.07316895965954599, 0.14651680991645366]","[0.0068883699857407174, -0.6985472521561084, 0.011144470858215906, 0.7154439793816008]",0
"[-0.06418875915313106, 0.06536245870204044, -0.09953789294222173]","[0.12426222550649164, 0.03440890503996849, 0.1272268563824771, 0.9834572962671825]",0
"[0.0035976818815136994, -0.0497354814915612, 0.30442892222349005]","[-0.9918440492108077, 0.1205149709208883, -0.03936138780273256, -0.013122689483842511]",1
"[-0.002041973019168353, 0.19126964334179902, 0.1779553789371614]","[0.6991529311951525, 0.1830628224421273, 0.03533229122916766, 0.6902353301861951]",0
"[-0.0336913845269955, -0.025601847496023223, 0.2711382101379964]","[-0.9982526444578167, -0.011455613887478287, 0.05781690509215367, 0.004199074779267049]",0
"[-0.03415829237872314, 0.15617046120827807, 0.15014652211292384]","[0.7130571852621111, 0.038185784146866776, -0.08381973825313967, 0.695029170549222]",0
"[-0.07257201830777163, -0.05449972867361425, -0.03744610982999452]","[0.12491987298926241, -0.10655102109876874, 0.09984621842726434, 0.9813626434203268]",0
"[-0.16475341438753782, -0.00812955710957577, 0.13586926871924485]","[-0.04288614909172823, 0.679899575676271, 0.048820961595839305, 0.7304203303031525]",1
"[-0.013943903638527462, 0.013212808263469107, 0.22671617334051739]","[-0.9969003072139285, 0.07347809012277627, -0.02675419299134614, 0.008657996654307842]",1
"[-0.04823204012690576, 0.17464222709995486, 0.09075524557154858]","[0.7120136669606575, 0.059568529123691635, -0.008127692108698983, 0.6995870703638425]",0
"[-0.15097793010108362, -0.006174020996333365, 0.12332921387585868]","[-0.004321572158482376, 0.6986860514478802, 0.005913693380936329, 0.7153909097527347]",1
"[-0.025387615904131945, -0.1355899160194342, 0.08832993645645444]","[-0.6977285771899276, 0.005544491450961149, 0.09805089680996448, 0.7095985575110981]",1
"[0.07371355560932165, 0.021124142716800957, 0.2714650589001759]","[-0.9907333057050056, 0.12945407882211948, 0.039458668591648184, -0.011496604547555841]",1
"[0.13492849769121174, 0.03332258181874519, 0.15735542209538533]","[-0.03996793336296136, -0.6999745638237818, -0.040492093675558456, 0.7118978611094223]",1
"[0.03196253709390056, -0.036027541059039665, 0.26936671923388944]","[-0.9874371035843861, -0.11869355026679643, -0.10164121886239222, 0.023427979385966396]",1
"[-0.041188870061158483, 0.08161216581458958, -0.11438947887635476]","[-0.039815637964170245, 0.12429556810334086, -0.1167091925494103, 0.98455283814422]",0
"[-0.05448540067272651, 0.04947814999077902, 0.2959316766369322]","[-0.9867427334420971, -0.08719162084003061, -0.13386839093103536, 0.028559642225393565]",0
"[0.023707891987087556, -0.171083813301888, 0.1603961661183853]","[-0.6890781060536005, -0.020028693317813432, -0.07588249088551358, 0.7204249182104779]",0
"[-0.0054632632102479765, 0.19363932714135523, 0.10223942724243028]","[0.6859834125183369, -0.09862806277580181, 0.06980484905889081, 0.7175141434359711]",1
"[0.033070762893827106, 0.16072613087578344, 0.040662188178056]","[0.699693976806472, -0.06003089127586861, 0.15281370812475817, 0.6953219409183996]",0
"[0.01875940046907202, 0.016529957467220746, 0.29840063280424745]","[-0.9828699257044534, 0.1257588734545235, 0.13372143597018285, 0.016431447143928406]",0
"[0.011563702660132465, 0.20464794694540372, 0.1167765591997115]","[0.719504595594901, -0.1197291658358598, 0.026865039579495154, 0.683561506679874]",1
"[-0.0002810427042507545, 0.1810845785191131, 0.05339889496046831]","[0.6761304644067397, 0.16716335199822435, -0.02122914497410672, 0.7172540221243188]",0
"[-0.06138705910587073, 0.20334370623856032, 0.05146394880063693]","[0.700395797246676, 0.030910011724669062, 0.16168339843621998, 0.6945133382768747]",0
"[-0.21042132309232903, -0.07448681434740816, 0.17171176065231936]","[0.019388692020762405, 0.7153716942162777, -0.01702023392626765, 0.6982676631299432]",0
"[0.13157979935962852, 0.008688783770406673, 0.09080093541772878]","[0.026686965999218427, -0.7119152834795526, 0.025386869209863057, 0.7012987536461949]",1
"[-0.04798211565992153, -0.004574715456395209, -0.08709459842414696]","[0.09669537144926997, -0.013554645552683863, -0.0841001906544093, 0.9916619558378353]",0
"[-0.1779904850215329, -0.017395495003775373, 0.167109050474053]","[0.05862026104968259, 0.705566533231633, -0.058695722744523095, 0.703771514278221]",0
